Size,Acc from small
0.01,0.024044092
0.0146,0.03652335
0.1,0.30568267
0.144,0.456995512
0.208,0.685272513
0.3,1.02531829
0.434,1.537874062
0.626,2.296232297
0.903,3.422246638
1.3,5.075077327
1.88,7.530612918
2.71,11.06550258
3.91,16.12389437
5.65,23.20851951
8.15,32.68891489
11.8,44.88825053
17,59.01121522
24.5,73.69904318
35.3,86.45884635
51,95.03299116
73.6,98.8921377
106,99.88147798
153,99.99592057
221,99.99997427
319,99.99999999
461,100
665,100
959,100
1384,100
1997,100
2881,100
4158,100
6000,100
